mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.1371,1.1641327246749352e-09,1.2084907564537552e-09,1.799486088459464e-09,1.5327406648900894e-09,7.560538043780836e-10,-0.12013768933404012
0.13714,1.0317638514223048e-09,1.2099983198946068e-09,1.8004701190061179e-09,1.5339123649578763e-09,7.584979311705725e-10,-0.4470958717877586
0.13719,8.218626853353814e-10,1.2087034493687307e-09,1.7995693376474925e-09,1.532873193511285e-09,7.564805070995674e-10,-0.8848109079049933
0.13723,7.561169086208872e-10,1.208416600000658e-09,1.7992736972454582e-09,1.5325886363249274e-09,7.561169086208872e-10,-1.023932674615021
0.13728,8.494167573874001e-10,1.2084302610398658e-09,1.799459862232012e-09,1.5327026313136104e-09,7.559326215941551e-10,-0.833139051348493
0.13732,9.683629929544487e-10,1.2101419708101512e-09,1.8016087955418979e-09,1.5346381870935936e-09,7.574825788996659e-10,-0.5920128977927015
0.13737,1.0917943198996713e-09,1.2114980959945001e-09,1.8035848074996485e-09,1.5363344231820805e-09,7.583722016775067e-10,-0.3094124174736828
0.13741,1.0604110590555308e-09,1.2112098512143038e-09,1.8038606380183e-09,1.5363847704403254e-09,7.573436670765928e-10,-0.3862939809513978
0.13746,1.015493351158962e-09,1.2105069334596934e-09,1.8031096807422869e-09,1.5356630415463488e-09,7.565751940355003e-10,-0.48995900861260505
0.1375,9.431493581802401e-10,1.2107482352802592e-09,1.8026426301636319e-09,1.5354866558865936e-09,7.576901804120583e-10,-0.6474171085071714
0.13755,9.674963094326324e-10,1.209448557053314e-09,1.801394185901565e-09,1.5342426107748585e-09,7.560542500482573e-10,-0.5944677348509546
0.13759,1.0815693536446475e-09,1.2111900495862722e-09,1.802181035909887e-09,1.535392012720827e-09,7.592851738289665e-10,-0.33117185573119806
0.13763,1.1999162329410066e-09,1.2069847549118065e-09,1.7966188088796984e-09,1.5304694215661702e-09,7.558199209555221e-10,-0.018983285034344422
0.13768,1.2885895354777457e-09,1.2043758830596902e-09,1.7923490636173744e-09,1.5269334034459673e-09,7.546526621746554e-10,0.23982443815871538
