mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.10574,1.9625517719347753e-09,3.1289345601224863e-09,4.654848572795407e-09,3.965965613966854e-09,1.9625517719347753e-09,-1.1088213036153127
0.10578,1.9581280821837865e-09,3.1231043346610736e-09,4.646742069898284e-09,3.958923968715043e-09,1.9581280821837865e-09,-1.0150366925701095
0.10582,2.4172088748460044e-09,3.1056066569737845e-09,4.633251953700739e-09,3.9441232441903044e-09,1.9321736853092007e-09,-0.6564588308406302
0.10585,2.638889717008779e-09,3.117365496997881e-09,4.6400451212123785e-09,3.952745488386467e-09,1.9522334409266565e-09,-0.4659189449900135
0.10589,2.6437737939934328e-09,3.121501013478068e-09,4.643210143199247e-09,3.956213959933383e-09,1.958503257989479e-09,-0.4617980367284148
0.10593,3.0276869968499616e-09,3.1166010894107495e-09,4.639471482225554e-09,3.952085401789751e-09,1.9512164255285456e-09,-0.09273100876546705
0.10596,2.8814342950157663e-09,3.1117596085006133e-09,4.63436353531707e-09,3.947168058511364e-09,1.945754740771737e-09,-0.23692312893085343
0.106,3.1044013627728327e-09,3.113987099451455e-09,4.635512560306489e-09,3.9487046720684836e-09,1.9498215847138837e-09,-0.010044310919974968
0.10604,3.3733128953294387e-09,3.117635800147016e-09,4.636630221582594e-09,3.950773710631146e-09,1.9573977993595794e-09,0.2876612714092389
0.10607,3.529140328262333e-09,3.1145790651754844e-09,4.632349229716171e-09,3.9470515289042735e-09,1.955189382776033e-09,0.4741431602381647
0.10611,4.073937225669968e-09,3.1110536494104624e-09,4.631607836848886e-09,3.94521946863026e-09,1.947663831246355e-09,1.1755533475877966
0.10614,4.081974974575539e-09,3.121571716919477e-09,4.6362940870263375e-09,3.952119580203179e-09,1.967319370816399e-09,1.191761494092193
0.10618,4.153206885518264e-09,3.1085932000865766e-09,4.614923245201985e-09,3.934451283386042e-09,1.9616908891010392e-09,1.3211465971123904
0.10622,4.0486113118915275e-09,3.077814784158831e-09,4.583034541990967e-09,3.903643512383788e-09,1.9255261778557853e-09,1.1982650819484075
0.10625,3.7729671783645455e-09,3.0739193883037566e-09,4.571043248653749e-09,3.895071544083708e-09,1.930443119491321e-09,0.8427330936351658
0.10629,3.3623192485127563e-09,3.051217529765864e-09,4.5447403873843826e-09,3.8706917653291305e-09,1.907256006512377e-09,0.34814884985834443
0.10633,2.6686217275293967e-09,3.0511151319790496e-09,4.537563699636262e-09,3.86644544623344e-09,1.915507293650544e-09,-0.38219096816459375
0.10636,2.476596776159768e-09,3.0254724113908187e-09,4.5102844914226905e-09,3.840321258956216e-09,1.8865210128391225e-09,-0.548501979988006
0.1064,2.3186662031792847e-09,3.0295390614698203e-09,4.504983323828029e-09,3.838808643335549e-09,1.9025812144444527e-09,-0.6776122983727816
0.10644,2.1990914764644763e-09,3.000782757308845e-09,4.475498036526664e-09,3.810161647558247e-09,1.868771576530526e-09,-0.7675646501805472
0.10647,2.2893580058380756e-09,3.0071671124333096e-09,4.469681562325353e-09,3.809261889946601e-09,1.8909883981648975e-09,-0.6862035395902383
